Title,Quantity,Actual Price in Rs,Discounted Price in Rs,Stock,Category,Store
"Opa! Frozen Hearty Brocolli, 300g",300 g,220,,In stock,Frozen Food,Naheed
"Opa! Juicy Frozen Strawberries, 500g",500 g,400,,In stock,Frozen Food,Naheed
"Opa! Frozen Golden Sweet Corn, 500g",500 g,340,,In stock,Frozen Food,Naheed
"MonSalwa Tikka Chicken Chunks, 500g",500 g,820,,In stock,Frozen Food,Naheed
"Opa! Frozen Plum Green Peas, 500g",500 g,270,,In stock,Frozen Food,Naheed
"King's Beef Mortadella, 200g",200 g,450,,In stock,Frozen Food,Naheed
"King's Beef Pepperoni, 200g",200 g,585,,In stock,Frozen Food,Naheed
"King's Chicken Low Fat Sausages, 5 Pieces, 340g",5 Pieces,800,,In stock,Frozen Food,Naheed
"King's Chicken Pie, 200g",200 g,520,,In stock,Frozen Food,Naheed
"King's Beef Paprika, 200g",200 g,430,,In stock,Frozen Food,Naheed
"King's Frankfurter Skinless Sausages, 6 Pieces",6 Pieces,625,,In stock,Frozen Food,Naheed
"King's Frankfurter Cocktail Sausages, 340g",340 g,840,,In stock,Frozen Food,Naheed
"King's Chicken Meat Loaf, 200g",200 g,420,,In stock,Frozen Food,Naheed
"King's Frankfurter Low Fat Sausages, 4 Pieces, 340g",4 Pieces,840,,In stock,Frozen Food,Naheed
"King's Chicken Jumbo Sausages, 5 Pieces",5 Pieces,740,,In stock,Frozen Food,Naheed
"King's Frankfurter Sausages, 5 Pieces, 340g",5 Pieces,835,,In stock,Frozen Food,Naheed
"King's Chicken Skinless Sausages, 6 Pieces",6 Pieces,610,,In stock,Frozen Food,Naheed
"King's Chicken Sausages, 4 Pieces, 340g",4 Pieces,790,,In stock,Frozen Food,Naheed
"Sabroso Plain Paratha, 5 Pieces, 400g",5 Pieces,210,,In stock,Frozen Food,Naheed
Sabroso Whole Wheat Paratha 30`s 2400g,2400 g,"1,225",,In stock,Frozen Food,Naheed
"Sabroso Plain Paratha, 20 Pieces, 1600g",20 Pieces,745,,In stock,Frozen Food,Naheed
"Dawn Chicken Nuggets, 67-68 Pieces, Family Pack, 1500g",68 Pieces,"1,750",,In stock,Frozen Food,Naheed
"RR's Puff Pastry Ready To Roll Dough, 250g",250 g,240,,In stock,Frozen Food,Naheed
"Siblou Crispy Fish Fillets, 500g",500 g,"2,000",,In stock,Frozen Food,Naheed
"K&N's Deline Mini Franks Sausage With Cheese, 54-56 Pieces, 700g",56 Pieces,"1,135",,In stock,Frozen Food,Naheed
"PK Beef Kebab Roll, 12 Pieces",12 Pieces,842,,In stock,Frozen Food,Naheed
"PK Beef Samosa, 24 Pieces",24 Pieces,862,,In stock,Frozen Food,Naheed
"Khatir Tawaza Frozen Peshawari Naan, 5-Pack",,200,,In stock,Frozen Food,Naheed
"Khatir Tawaza Frozen Sheermal, 3-Pack",,300,,In stock,Frozen Food,Naheed
"Khatir Tawaza Frozen Tandoori Roti, 4-Pack",,200,,In stock,Frozen Food,Naheed
"Menu Frozen Boneless Finger Fish, 1 KG",1 KG,"1,763",,In stock,Frozen Food,Naheed
"MonSalwa Plain Paratha, Family Pack, 20-Pack",,810,,In stock,Frozen Food,Naheed
"K&N's Whole Chicken, Roaster Size 13, 1.3 KG",1.3 KG,"1,105",,In stock,Frozen Food,Naheed
"MonSalwa Crispy Chicken Burger, 18-Pack, 990g ",990 g,870,,In stock,Frozen Food,Naheed
"MonSalwa Chicken Chapli Kabab, 8-Pack, 600g",600 g,790,,In stock,Frozen Food,Naheed
"MonSalwa Frozen Value Chunky Chicken Nuggets, 1 KG",1 KG,880,,In stock,Frozen Food,Naheed
"Khatir Tawaza Vegetable Spring Roll, 12-Piece, 250g",250 g,370,,In stock,Frozen Food,Naheed
"Khatir Tawaza Chatpata Aloo Samosa, 12-Piece, 250g",250 g,370,,In stock,Frozen Food,Naheed
"Khatir Tawaza Chicken Spring Roll, 8-Piece, 250g",250 g,440,,In stock,Frozen Food,Naheed
"Khatir Tawaza Chicken Samosa, 12-Piece, 250g",250 g,440,,In stock,Frozen Food,Naheed
"Menu Frozen Chicken Samosa, 24 Pieces",24 Pieces,742,,In stock,Frozen Food,Naheed
"MonSalwa Frozen French Fries, 750g",750 g,802,,In stock,Frozen Food,Naheed
"Opa! Fries Chunky, 9mm, 900g",9 mm,835,,In stock,Frozen Food,Naheed
"Opa! Fries Super Chunky, 12mm, 900g",12 mm,835,,In stock,Frozen Food,Naheed
"Opa! Fries Original, 6mm, 900g",6 mm,835,,In stock,Frozen Food,Naheed
"Opa! Fries Crinkle, 9mm, 900g",9 mm,835,,In stock,Frozen Food,Naheed
"Opa! Fries Crinkle Cut, 9x9mm, 1.8 KG, Value Pack",9 x,"1,525",,In stock,Frozen Food,Naheed
"Opa! Fries Original Thin Cut, 6x6mm, 1.8 KG, Value Pack",6 x,"1,525",,In stock,Frozen Food,Naheed
"Emborg French Fries, Straight, 1 KG",1 KG,"1,250",,In stock,Frozen Food,Naheed
Salmans Caramel Topping 623g,623 g,600,,In stock,Frozen Food,Naheed
Rich's Bettercreme Double Chocolate Liquid Icing,,"2,700",,In stock,Frozen Food,Naheed
"Big Bird Potato Samosa 12 Pieces, 600g",12 Pieces,790,,In stock,Frozen Food,Naheed
Big Bird Juicy Chicken Tenders 648g,648 g,"1,200",,In stock,Frozen Food,Naheed
Emborg French Fries Crinkle 1000g,1000 g,"1,250",,In stock,Frozen Food,Naheed
Sunbulah Konafah Dough 500gm,500 gm,"2,400",,In stock,Frozen Food,Naheed
"Mojizah Phulka Chapati, 18 Pieces",18 Pieces,370,,In stock,Frozen Food,Naheed
"Mojizah Whole Wheat Chapati, 10 Pieces",10 Pieces,340,,In stock,Frozen Food,Naheed
"Mojizah Laziz Chapati, 10 Pieces",10 Pieces,220,,In stock,Frozen Food,Naheed
"Mojizah Meethi Tikia, 12 Pieces",12 Pieces,180,,In stock,Frozen Food,Naheed
"Mojizah Aloo Bhara Paratha, 5 Pieces",5 Pieces,225,,In stock,Frozen Food,Naheed
"Mojizah Puri, 10 Pieces",10 Pieces,170,,In stock,Frozen Food,Naheed
"Mojizah Laziz Paratha, 5 Pieces",5 Pieces,170,,In stock,Frozen Food,Naheed
"Mojizah Makai Ki Roti, 4 Pieces",4 Pieces,240,,In stock,Frozen Food,Naheed
"Mojizah Diet Chapati, 8 Pieces",8 Pieces,250,,In stock,Frozen Food,Naheed
"Mojizah Chicken Tikka Paratha, 4 Pieces",4 Pieces,435,,In stock,Frozen Food,Naheed
"Mojizah Daal Kachori With Aloo Bujia, 12 Pieces",12 Pieces,215,,In stock,Frozen Food,Naheed
Menu Chicken Rajasthani Boti 500g,500 g,"1,045",,In stock,Frozen Food,Naheed
Siblou Jumbo Tempura Shrimps 300g,300 g,"2,675",,In stock,Frozen Food,Naheed
"Siblou Breaded Fish Fillets, 8 Pieces, 400g",8 Pieces,"1,445",,In stock,Frozen Food,Naheed
"Siblou Fish Burgers, 4 Pieces, 400g",4 Pieces,"1,280",,In stock,Frozen Food,Naheed
"Siblou Fish Fingers, 10 Pieces, 250g",10 Pieces,"1,020",,In stock,Frozen Food,Naheed
"Menu Plain Paratha, 20 Pieces",20 Pieces,820,,In stock,Frozen Food,Naheed
