Title,Quantity,Actual Price in Rs,Discounted Price in Rs,Stock,Category,Store
Mitchells Strawberry Jam 300gm,300 gm,155,145,Out of stock,Breakfast food & cereals,QNE
National Apple Jelly 440 gm,440 gm,115,,Out of stock,Breakfast food & cereals,QNE
Dawn Bread Fortified Large,,140,120,Out of stock,Breakfast food & cereals,QNE
Fauji Barley Porridge 250 gm,250 gm,185,175,Out of stock,Breakfast food & cereals,QNE
National Apple Delight Chunky Jam 385gm,385 gm,347,260,Out of stock,Breakfast food & cereals,QNE
Mitchells Pineapple Jelly 450gm,450 gm,168,160,Out of stock,Breakfast food & cereals,QNE
Dawn Bread Fortified Small,,100,80,Out of stock,Breakfast food & cereals,QNE
Fauji Cereal Chocolate Pops 150G,150 G,295,285,Out of stock,Breakfast food & cereals,QNE
Fauji Cereal Choco Cups 250G,250 G,379,369,Out of stock,Breakfast food & cereals,QNE
Youngs Choco Bliss Milk Chocolate Spread 150gm,150 gm,295,,Out of stock,Breakfast food & cereals,QNE
Fauji Corn Flakes Mango 250Gm,250 Gm,325,315,Out of stock,Breakfast food & cereals,QNE
Fauji Choco Corn Flakes 250G,250 G,443,433,Out of stock,Breakfast food & cereals,QNE
Fauji Cereal Chocolate Pops 250G,250 G,469,459,Out of stock,Breakfast food & cereals,QNE
Langnese Pure Bee Honey 500 gm,500 gm,"1,760","1,750",Out of stock,Breakfast food & cereals,QNE
Fauji Corn Flakes Strawberry 250Gm,250 Gm,290,280,Out of stock,Breakfast food & cereals,QNE
Langnese Pure Bee Honey 250g,250 g,929,919,Out of stock,Breakfast food & cereals,QNE
Fauji Corn Flakes Honey 250G,250 G,355,345,Out of stock,Breakfast food & cereals,QNE
Youngs Choco Bliss Milk Chocolate Spread 360 gm,360 gm,420,410,Out of stock,Breakfast food & cereals,QNE
Langnese Pure Bee Honey 375 gm,375 gm,"1,359","1,349",Out of stock,Breakfast food & cereals,QNE
Happy Home Jelly Cryetals Pineapple 80 gm,80 gm,80,70,Out of stock,Breakfast food & cereals,QNE
Mitchells Mixed Fruit Jam Tin 1050gm,1050 gm,325,315,Out of stock,Breakfast food & cereals,QNE
Youngs Natural Honey 500 ml,500 ml,609,599,Out of stock,Breakfast food & cereals,QNE
Nestle Koko Krunch Cereals 500 gm,500 gm,909,899,Out of stock,Breakfast food & cereals,QNE
Fauji Bran Flakes 250 gm,250 gm,420,410,Out of stock,Breakfast food & cereals,QNE
SWITZELLA HAZELNUT SPREAD 350GM,350 GM,400,,Out of stock,Breakfast food & cereals,QNE
Fruit Tree Jam Apricot  440 gm,440 gm,264,254,Out of stock,Breakfast food & cereals,QNE
Mitchells Strawberry Jam 1050 gm,1050 gm,325,315,Out of stock,Breakfast food & cereals,QNE
Fauji Corn Flakes 150G,150 G,173,163,Out of stock,Breakfast food & cereals,QNE
Fauji Choco Stars 250G,250 G,331,321,Out of stock,Breakfast food & cereals,QNE
Fruit Tree Jam Cherry 440 gm,440 gm,265,,Out of stock,Breakfast food & cereals,QNE
