Title,Quantity,Actual Price in Rs,Discounted Price in Rs,Stock,Category,Store
Peek Freans Choc Sandwitch H/R 6's Box,,233,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Peek Freans Lemon Sandwitch H/R 6's Box,,233,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Peek Freans Rio Strawberry Vanilla S/P Rs15/- 16'S Box,,233,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Peek Freans Party H/R 6's Box,,233,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Peek Freans Peanut Pik H/R 6's Box,,233,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Peek Freans Marie H/R 6's Box,,233,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Peek Freans Gluco H/R 6's Box,,233,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Peek Freans Butter Puff  H/R 6's Box,,233,,In stock,Snacks & Confectionary > Biscuits & Wafers > Biscuits,Imtiaz
Hilal Cake Rusk Mini 6'S Box,,155,,In stock,Snacks & Confectionary > Cakes & Rusks > Cake Rusk,Imtiaz
Peek Freans Cup Cake Up Caramel 12's Box,,199,,In stock,Snacks & Confectionary > Cakes & Rusks > Cakes,Imtiaz
Hilal Bake Time Plain Cake Slices 6's Box,,198,,In stock,Snacks & Confectionary > Cakes & Rusks > Cakes,Imtiaz
Peek Freans Cup Cake Up Chocolate 12's Box,,199,,In stock,Snacks & Confectionary > Cakes & Rusks > Cakes,Imtiaz
Hilal Cup Kake Double Chocolate 12's Box,,205,,In stock,Snacks & Confectionary > Cakes & Rusks > Cakes,Imtiaz
Hilal Bake Time Marble Cake Slices 6's Box,,198,,In stock,Snacks & Confectionary > Cakes & Rusks > Cakes,Imtiaz
Hilal Cup Kake Strawberry 12's Box,,205,,In stock,Snacks & Confectionary > Cakes & Rusks > Cakes,Imtiaz
Hilal Cup Kake Chocolate 12's Box,,205,,In stock,Snacks & Confectionary > Cakes & Rusks > Cakes,Imtiaz
Peek Freans Cup Cake Up Triple Chocolate 6's Box,,149,,In stock,Snacks & Confectionary > Cakes & Rusks > Cakes,Imtiaz
Hilal Bake Time Fruit Cake Slices 6's Box,,198,,In stock,Snacks & Confectionary > Cakes & Rusks > Cakes,Imtiaz
Hilal Bake Time Chocolate Cake Slices 6's Box,,205,,In stock,Snacks & Confectionary > Cakes & Rusks > Cakes,Imtiaz
Euro Twin Vanilla Cake 32g,32 g,72,,In stock,Snacks & Confectionary > Cakes & Rusks > Cakes,Imtiaz
Peek Freans Cup Cake Up Strawberry 12's Box,,199,,In stock,Snacks & Confectionary > Cakes & Rusks > Cakes,Imtiaz
Peek Freans Cup Cake Up Double Chocolate 12's Box,,199,,In stock,Snacks & Confectionary > Cakes & Rusks > Cakes,Imtiaz
Hilal Chocokake Tripple Chocolate 12'S Box,,159,,In stock,Snacks & Confectionary > Cakes & Rusks > Cakes,Imtiaz
Euro Twin Chocolate Cake 32G,32 G,79,,In stock,Snacks & Confectionary > Cakes & Rusks > Cakes,Imtiaz
Euro Muffin Filled Cake 40G,40 G,99,,In stock,Snacks & Confectionary > Cakes & Rusks > Cakes,Imtiaz
Hilal Chocokake Choco Vanilla 12'S Box,,159,,In stock,Snacks & Confectionary > Cakes & Rusks > Cakes,Imtiaz
Euro Bake Molten Cake Chocolate 55g,55 g,235,,In stock,Snacks & Confectionary > Cakes & Rusks > Cakes,Imtiaz
Euro Muffin Double Chocolate Cake 40g,40 g,99,,In stock,Snacks & Confectionary > Cakes & Rusks > Cakes,Imtiaz
Hilal Cup Kake Birthday 12's Box,,205,,In stock,Snacks & Confectionary > Cakes & Rusks > Cakes,Imtiaz
Hilal Cup Kake Choco Vanila 12's Box,,205,,In stock,Snacks & Confectionary > Cakes & Rusks > Cakes,Imtiaz
